HARGA SATUAN DASAR ALAT KABUPATEN JEMBER;;;;;
;;;;;
No;Kode;Uraian;Satuan;Harga Satuan (Rp.);Keterangan
III;;PERALATAN;;;
1;E.01;Alat (Pancang) Hammer (Manual) 0,5 Ton;Sewa-Hari; Rp103.200 ;
2;E.02;Alat (Pancang) Hammer (Manual) 1 Ton;Sewa-Hari; Rp182.200 ;
3;E.03;Alat (Pancang) Hammer (Manual) 2 Ton;Sewa-Hari; Rp262.700 ;
4;E.04;Alat (Mesin Pancang Diesel) Hammer 0,5 Ton;Sewa-Jam; Rp129.800 ;
5;E.05;Alat (Mesin Pancang Diesel) Hammer 1 Ton;Sewa-Jam; Rp192.600 ;
6;E.06;Alat (Mesin Pancang Diesel) Hammer2 Ton;Sewa-Jam; Rp287.600 ;
7;E.07;Alat (Mesin Pancang Diesel) Hammer 3 Ton;Sewa-Jam; Rp417.300 ;
8;E.08;Alat (Mesin Pancang Kompresor Udara) Hammer 3 Ton;Sewa-Jam; Rp317.100 ;
9;E.09;Alat (Mesin Pancang Tenaga Uap) Hammer 3 Ton;Sewa-Jam; Rp318.000 ;
10;E.10;Boat, Speedboat, Motor 10 Hp;Sewa-Hari; Rp1.091.400 ;
11;E.11;Tug-Boat, Motor 50 Hp;Sewa-Hari; Rp3.240.000 ;
12;E.12;Bore Pile Machine, Ø 60 Cm;Sewa-Jam; Rp230.500 ;
13;E.13;Bore Pile Machine, Ø 100 Cm;Sewa-Jam; Rp322.400 ;
14;E.14;Bulldozer 50-60 Hp;Sewa-Jam; Rp179.000 ;
15;E.15;Bulldozer 100-120 Hp;Sewa-Jam; Rp248.300 ;
16;E.16;Bulldozer 180-220 Hp;Sewa-Jam; Rp325.400 ;
17;E.17;Chainsaw;Sewa-Hari; Rp205.700 ;
18;E.18;Crane 2.5 Ton;Sewa-Jam; Rp1.826.700 ;
19;E.19;Crane 5 Ton;Sewa-Jam; Rp2.060.600 ;
20;E.20;Crane 10 Ton;Sewa-Jam; Rp2.189.000 ;
21;E.21;Crane 25 Ton;Sewa-Jam; Rp2.974.200 ;
22;E.22;Dump Truck;Sewa-Jam; Rp326.700 ;
23;E.23;Dump Truck 5 Ton;Sewa-Jam; Rp321.000 ;
24;E.24;Dump Truck 7 Ton;Sewa-Jam; Rp369.900 ;
25;E.25;Dump Truck 10 Ton;Sewa-Jam; Rp583.000 ;
26;E.26;Drilling Rig (Kecil);Sewa-Jam; Rp102.800 ;
27;E.27;Drilling Rig (Sedang);Sewa-Jam; Rp194.400 ;
28;E.28;Drilling Rig (Besar);Sewa-Jam; Rp362.800 ;
29;E.29;Excavator (Kecil)/Backhoe Kecil;Sewa-Jam; Rp216.900 ;
30;E.30;Excavator (Standar)/Backhoe;Sewa-Jam; Rp267.800 ;
31;E.31;Excavator (Long Arm);Sewa-Jam; Rp322.400 ;
32;E.32;Excavator Besar (Long Arm);Sewa-Jam; Rp379.600 ;
33;E.33;Generator Set 5 Kw;Sewa-Jam; Rp82.100 ;
34;E.34;Generator Set 15 Kw;Sewa-Jam; Rp135.200 ;
35;E.35;Generator Set 25 Kw;Sewa-Jam; Rp187.300 ;
36;E.36;Geo Listrik;Sewa-Hari; Rp3.195.000 ;
37;E.37;Grouting Equipment (Mini);Sewa-Jam; Rp192.600 ;
38;E.38;Grouting Equipment;Sewa-Jam; Rp951.100 ;
39;E.39;Jack Hammer 1 Pisau;Sewa-Hari; Rp371.000 ;
40;E.40;Jack Hammer 2 Pisau;Sewa-Hari; Rp481.500 ;
