;ANALISIS HARGA SATUAN PEKERJAAN (AHSP) BIDANG CIPTA KARYA;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;HARGA SATUAN PEKERJAAN PERSIAPAN;;;;;;;;;
;(K3) Pembuatan 1 m2 pagar sementara dari kayu tinggi 2 meter;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Pekerja;L.01;OH;0,4;Rp93.000;Rp37.200,00;;;
;;Tukang Kayu;L.02;OH;0,2;Rp98.000;Rp19.600,00;;;
;;Kepala Tukang;L.03;OH;0,02;Rp106.000;Rp2.120,00;;;
;;Mandor;L.04;OH;0,02;Rp111.000;Rp2.220,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp61.140,00;;;
;B;BAHAN;;;;;;;;
;;Dolken kayu Ø 8-10/400 cm;M.74; Batang ;1,25;Rp62.000;Rp77.500,00;;;
;;Semen portland;M.11; Kg ;5;Rp1.250;Rp6.250,00;;;
;;Pasir beton;M.46; m3 ;0,005;Rp103.800;Rp519,00;;;
;;Koral beton;M.488; m3 ;0,009;Rp148.400;Rp1.335,60;;;
;;Kayu 5/7;M.489; m3 ;0,072;Rp6.871.700;Rp494.762,40;;;
;;Paku biasa;M.200; Kg ;0,06;Rp18.000;Rp1.080,00;;;
;;Residu;M.490; Liter ;0,4;Rp14.500;Rp5.800,00;;;
;;;;JUMLAH HARGA BAHAN;;;Rp587.247,00;;;
;C;PERALATAN;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp648.387,00;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp61.596,77;;;
PP1;F;Harga Satuan Pekerjaan (D+E);;;;;Rp709.983,77;1;;
;;;;;;;;;;
;(K3) Pembuatan 1 m2 pagar sementara dari seng gelombang tinggi 2 meter;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Pekerja;L.01;OH;0,2;Rp93.000;Rp18.600,00;;;
;;Tukang Kayu;L.02;OH;0,4;Rp98.000;Rp39.200,00;;;
;;Kepala Tukang;L.03;OH;0,02;Rp106.000;Rp2.120,00;;;
;;Mandor;L.04;OH;0,02;Rp111.000;Rp2.220,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp62.140,00;;;
;B;BAHAN;;;;;;;;
;;Dolken kayu Ø 8-10/400 cm;M.74; Batang ;1,25;Rp62.000;Rp77.500,00;;;
;;Semen portland;M.11; Kg ;2,5;Rp1.250;Rp3.125,00;;;
;;Seng gelombang;M.271; Lembar ;1,2;Rp106.800;Rp128.160,00;;;
;;Pasir beton;M.46; m3 ;0,005;Rp103.800;Rp519,00;;;
;;Koral beton;M.488; m3 ;0,009;Rp148.400;Rp1.335,60;;;
;;Kayu 5/7;M.489; m3 ;0,072;Rp6.871.700;Rp494.762,40;;;
;;Paku biasa;M.200; Kg ;0,06;Rp18.000;Rp1.080,00;;;
;;Meni besi;M.369; Kg ;0,45;Rp64.300;Rp28.935,00;;;
;;;;JUMLAH HARGA BAHAN;;;Rp735.417,00;;;
;C;PERALATAN;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp797.557,00;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp75.767,92;;;
PP2;F;Harga Satuan Pekerjaan (D+E);;;;;Rp873.324,92;2;;
;;;;;;;;;;
;Pembuatan 1 m2 pagar sementara dari kawat duri tinggi 1,8 meter;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Pekerja;L.01;OH;0,2;Rp93.000;Rp18.600,00;;;
;;Tukang Kayu;L.02;OH;0,3;Rp98.000;Rp29.400,00;;;
;;Kepala Tukang;L.03;OH;0,02;Rp106.000;Rp2.120,00;;;
;;Mandor;L.04;OH;0,02;Rp111.000;Rp2.220,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp52.340,00;;;
;B;BAHAN;;;;;;;;
;;Dolken kayu Ø 8-10/400 cm;M.74; Batang ;1;Rp62.000;Rp62.000,00;;;
;;Semen portland;M.11; Kg ;2;Rp1.250;Rp2.500,00;;;
;;Kawat duri;M.491; M’ ;25;Rp11.900;Rp297.500,00;;;
;;Pasir beton;M.46; m3 ;0,005;Rp103.800;Rp519,00;;;
;;Koral beton;M.488; m3 ;0,009;Rp148.400;Rp1.335,60;;;
;;Paku biasa 2” - 5”;M.200; Kg ;0,06;Rp18.000;Rp1.080,00;;;
;;;;JUMLAH HARGA BAHAN;;;Rp364.934,60;;;
;C;PERALATAN;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp417.274,60;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp39.641,09;;;
PP3;F;Harga Satuan Pekerjaan (D+E);;;;;Rp456.915,69;3;;
;;;;;;;;;;
;Pengukuran dan pemasangan 1 m’ Bouwplank;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Pekerja;L.01;OH;0,1;Rp93.000;Rp9.300,00;;;
;;Tukang Kayu;L.02;OH;0,1;Rp98.000;Rp9.800,00;;;
;;Kepala Tukang;L.03;OH;0,01;Rp106.000;Rp1.060,00;;;
;;Mandor;L.04;OH;0,005;Rp111.000;Rp555,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp20.715,00;;;
;B;BAHAN;;;;;;;;
;;Kayu balok 5/7;M.79; m3 ;0,012;Rp8.811.600;Rp105.739,20;;;
;;M.200;M.200; Kg ;0,02;Rp18.000;Rp360,00;;;
;;Kayu papan 3/20;M.80; m3 ;0,007;Rp10.102.300;Rp70.716,10;;;
;;;;JUMLAH HARGA BAHAN;;;Rp176.815,30;;;
;C;PERALATAN;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp197.530,30;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp18.765,38;;;
PP4;F;Harga Satuan Pekerjaan (D+E);;;;;Rp216.295,68;4;;
;;;;;;;;;;
;(K3) Pembuatan 1 m2 kantor sementara lantai plesteran;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Pekerja;L.01;OH;2;Rp93.000;Rp186.000,00;;;
;;Tukang Kayu;L.02;OH;2;Rp98.000;Rp196.000,00;;;
;;Tukang Batu;L.02;OH;1;Rp98.000;Rp98.000,00;;;
;;Kepala Tukang;L.03;OH;0,3;Rp106.000;Rp31.800,00;;;
;;Mandor;L.04;OH;0,05;Rp111.000;Rp5.550,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp517.350,00;;;
;B;BAHAN;;;;;;;;
;;Dolken kayu Ø 8-10/400 cm;M.74; Batang ;1,25;Rp62.000;Rp77.500,00;;;
;;Kayu balok 5/7;M.79; m3 ;0,18;Rp8.811.600;Rp1.586.088,00;;;
;;Paku biasa;M.200; Kg ;0,08;Rp18.000;Rp1.440,00;;;
;;Besi strip;M.42; Kg ;1,1;Rp10.000;Rp11.000,00;;;
;;Semen portland;M.11; Kg ;35;Rp1.250;Rp43.750,00;;;
;;Pasir pasang;M.48; m3 ;0,15;Rp131.100;Rp19.665,00;;;
;;Pasir beton;M.46; m3 ;0,1;Rp103.800;Rp10.380,00;;;
;;Koral beton;M.488; m3 ;0,15;Rp148.400;Rp22.260,00;;;
;;Bata merah;M.07; Buah ;30;Rp700;Rp21.000,00;;;
;;Seng plat;M.278; Lembar ;0,25;Rp364.600;Rp91.150,00;;;
;;Jendela naco;M.492; Bh ;0,2;Rp62.100;Rp12.420,00;;;
;;Kaca polos;M.493; m2 ;0,08;Rp141.000;Rp11.280,00;;;
;;Kunci tanam;M.494; Bh ;0,15;Rp225.700;Rp33.855,00;;;
;;Plywood 4 mm;M.102; Lembar ;0,06;Rp117.200;Rp7.032,00;;;
;;;;JUMLAH HARGA BAHAN;;;Rp1.948.820,00;;;
;C;PERALATAN;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp2.466.170,00;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp234.286,15;;;
PP5;F;Harga Satuan Pekerjaan (D+E);;;;;Rp2.700.456,15;5;;
;;;;;;;;;;
;(K3) Pembuatan 1 m2 rumah jaga (konstruksi kayu );;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Pekerja;L.01;OH;1;Rp93.000;Rp93.000,00;;;
;;Tukang Kayu;L.02;OH;1,5;Rp98.000;Rp147.000,00;;;
;;Kepala tukang;L.03;OH;0,15;Rp106.000;Rp15.900,00;;;
;;Mandor;L.04;OH;0,05;Rp111.000;Rp5.550,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp261.450,00;;;
;B;BAHAN;;;;;;;;
;;Dolken kayu Ø 8-10/400 cm;M.74; Batang ;3;Rp62.000;Rp186.000,00;;;
