REKAP ANALISIS HARGA SATUAN PEKERJAAN (AHSP) BIDANG CIPTA KARYA;;;;;
;;;;;
;;;;;
;;;;;
HARGA SATUAN PEKERJAAN;;;;;
No;Kode;;Jenis Pekerjaan;Satuan;Harga
PP;A.2.2.1;HARGA SATUAN PEKERJAAN PERSIAPAN;;;
1;PP1;A.2.2.1.1.;(K3) Pembuatan 1 m2 pagar sementara dari kayu tinggi 2 meter;m2;Rp709.984
2;PP2;A.2.2.1.2;(K3) Pembuatan 1 m2 pagar sementara dari seng gelombang tinggi 2 meter;m2;Rp873.325
3;PP3;A.2.2.1.3.;Pembuatan 1 m2 pagar sementara dari kawat duri tinggi 1,8 meter;m2;Rp456.916
4;PP4;A.2.2.1.4.;Pengukuran dan pemasangan 1 m’ Bouwplank;m';Rp216.296
5;PP5;A.2.2.1.5.;(K3) Pembuatan 1 m2 kantor sementara lantai plesteran;m2;Rp2.700.456
6;PP6;A.2.2.1.6.;(K3) Pembuatan 1 m2 rumah jaga (konstruksi kayu );m2;Rp2.969.699
7;PP7;A.2.2.1.7.;(K3) Pembuatan 1 m2 gudang semen dan peralatan;m2;Rp2.510.998
8;PP8;A.2.2.1.8.;(K3) Pembuatan 1 m2 bedeng pekerja;m2;Rp2.364.979
9;PP9;A.2.2.1.9.;(K3) Pembersihan  1 m2 lapangan dan perataan;m2;Rp16.261
10;PP10;A.2.2.1.10.;(K3) Pembuatan 1 m2 steger/perancah  dari bambu;m2;Rp384.382
11;PP11;A.2.2.1.11.;Pembuatan 1 buah kotak adukan ukuran 40cm x50cm x25cm;Buah;Rp164.795
12;PP12;A.2.2.1.12.;Pembuatan 1 m2 jalan sementara;m2;Rp165.837
13;PP13;A.2.2.1.13.;Pembongkaran  1 m3 beton bertulang;m3;Rp216.736
14;PP14;A.2.2.1.14.;Pembongkaran  1 m3 dinding tembok bata;m3;Rp108.368
15;PP15;A.2.2.1.15.;Pemasangan 1 m2 pagar kawat jaring galvanis panjang 240 cm;m2;Rp35.795
16;PP16;A.2.2.1.16.;Pemasangan 1 m2 panel beton pracetak 5x50x240 cm;m2;Rp2.163.794
;;;;;
PT;A.2.3.1;HARGA SATUAN PEKERJAAN TANAH;;;
17;PT1;A.2.3.1.1.;Penggalian 1 m3 tanah biasa sedalam 1 m;m3;Rp79.415
18;PT2;A.2.3.1.2.;Penggalian 1 m3 tanah biasa sedalam 2 m;m3;Rp97.121
19;PT3;A.2.3.1.3.;Menggali 1 m3 tanah biasa sedalam 3 m;m3;Rp115.070
20;PT4;A.2.3.1.4.;Menggali 1 m3 tanah keras sedalam 1 m;m3;Rp105.724
21;PT5;A.2.3.1.5.;Menggali 1 m3 tanah cadas sedalam 1 m;m3;Rp160.045
22;PT6;A.2.3.1.6.;Menggali 1 m3 tanah lumpur sedalam 1 m;m3;Rp127.672
23;PT7;A.2.3.1.7.;Pengerjaan stripping 1 m2 tanah tebing setinggi 1 meter;m2;Rp5.699
24;PT8;A.2.3.1.8.;(K3) Pembuangan  1 m3 tanah sejauh 30 meter;m3;Rp34.821
25;PT9;A.2.3.1.9.;"Pengurugan kembali 1 m3 galian tanah (1/3 Galian;-Tanah  Biasa Sedalam 1 M)";m3;Rp28.497
26;PT10;A.2.3.1.10.;(K3) Pemadatan tanah 1 m3 tanah ( per 20 cm);m3;Rp56.995
27;PT11;A.2.3.1.11.;Pengurugan 1 m3 dengan pasir urug;m3;Rp163.560
28;PT12;A.2.3.1.12.;Pemasangan 1 m3 lapisan pudel campuran 1KP:3PP:7TL;m3;Rp326.790
29;PT13;A.2.3.1.13.;Pemasangan 1 m2 lapisan ijuk tebal 10 cm untuk bidang resapan;m2;Rp282.526
30;PT14;A.2.3.1.14.;Pengurugan 1 m3 sirtu padat;m3;Rp210.486
;;;;;
PD;A.3.2.2;HARGA SATUAN PEKERJAAN PONDASI;;;
31;PD1;A.3.2.1.1.;Pemasangan 1 m3 pondasi batu belah campuran 1SP : 3PP;m3;Rp877.050
32;PD2;A.3.2.1.2.;Pemasangan 1 m3 pondasi batu belah campuran 1SP : 4PP;m3;Rp828.693
33;PD3;A.3.2.1.3.;Pemasangan 1 m3 pondasi batu belah campuran 1SP : 5PP;m3;Rp795.182
34;PD4;A.3.2.1.4.;Pemasangan 1 m3 pondasi batu belah campuran 1SP : 6PP;m3;Rp771.616
35;PD5;A.3.2.1.5.;Pemasangan 1 m3 pondasi batu belah campuran 1SP : 8PP;m3;Rp739.330
36;PD6;A.3.2.1.6.;Pemasangan 1 m3 pondasi batu belah campuran 1SP : 1KP : 2PP;m3;Rp833.246
37;PD7;A.3.2.1.7.;Pemasangan 1 m3 pondasi batu belah campuran 1 SP : 3 KP : 10 PP;m3;Rp703.057
38;PD8;A.3.2.1.8.;Pemasangan 1 m3 pondasi batu belah campuran ¼ SP : 1 KP : 4PP;m3;Rp678.173
39;PD9;A.3.2.1.9.;Pemasangan 1 m3 batu kosong (anstamping);m3;Rp457.877
40;PD10;A.3.2.1.10.;(K3) Pemasangan 1 m3 pondasi siklop, 60% beton campuran 1SP : 2 PB : 3 Kr dan 40% batu;m3;Rp2.404.221
41;PD11;A.3.2.1.11.;Pemasangan 1 m3 pondasi sumuran, diameter 100 cm;m3;Rp873.979
;;;;;
PB;A.4.1.1;HARGA SATUAN PEKERJAAN BETON;;;
42;PB1;A.4.1.1.1;Membuat 1 m3 beton mutu f’c = 7,4 MPa (K 100);m3;Rp856.012
43;PB2;A.4.1.1.2;Membuat 1 m3 beton mutu f’= 9,8 MPa (K 125);m3;Rp891.107
44;PB3;A.4.1.1.3;Membuat 1 m3 beton mutu f’= 12,2 MPa (K 150);m3;Rp918.646
45;PB4;A.4.1.1.4;Membuat 1 m3 lantai kerja beton mutu f’c = 7,4 MPa (K 100), slump (3-6) cm, w/c = 087;m3;Rp783.670
46;PB5;A.4.1.1.5.;Membuat 1 m3 beton mutu f’ = 14,5 MPa (K 175), slump (12 ±2) cm, w/c = 0,66;m3;Rp951.167
47;PB6;A.4.1.1.6;Membuat 1 m3 beton mutu f’= 16,9 MPa (K 200), slump (120 ± 20) mm, w/c = 0,61;m3;Rp982.320
